jogos,pontos,vitórias,empates,derrotas,gols pró,gols sofridos,saldo de gols,aproveitamento
114,164,45,29,40,133,131,2,47.95
19,9,2,3,14,12,35,-23,15.79
390,765,221,102,67,644,357,287,65.38
133,170,43,41,49,158,149,9,42.61
390,737,218,83,89,677,408,269,62.99
133,177,44,45,44,171,169,2,44.36
213,328,88,64,61,284,232,52,51.33
19,37,10,7,2,35,14,21,64.91
349,579,162,93,94,534,381,153,55.3
76,132,36,24,16,119,76,43,57.89
21,25,6,7,8,26,30,-4,39.68
19,23,6,5,8,17,24,-7,40.35
133,204,52,48,33,160,128,32,51.13
132,181,48,37,47,149,142,7,45.71
390,742,211,109,70,586,355,231,63.42
295,493,140,73,82,404,279,125,55.71
84,138,40,18,26,121,98,23,54.76
352,651,188,87,77,604,373,231,61.65
57,77,19,20,18,58,57,1,45.03
219,354,95,69,55,311,236,75,53.88
408,776,224,104,80,678,381,297,63.4
409,726,205,111,93,627,418,209,59.17
158,260,73,41,44,232,178,54,54.85
295,498,140,78,77,478,340,138,56.27
369,739,218,85,66,640,330,310,66.76
19,20,5,5,9,25,25,0,35.09
65,112,30,22,13,83,57,26,57.44
390,780,229,93,68,635,335,300,66.67
19,30,9,3,7,28,25,3,52.63
19,25,6,7,6,19,17,2,43.86
143,231,60,51,32,194,145,49,53.85
95,145,42,19,34,131,112,19,50.88
367,715,212,79,76,641,368,273,64.94
124,207,59,30,35,186,136,50,55.65
67,121,35,16,16,132,90,42,60.2
181,289,83,40,58,256,221,35,53.22
57,95,24,23,10,90,54,36,55.56
38,45,13,6,19,50,58,-8,39.47
19,29,8,5,6,29,25,4,50.88
409,796,230,106,73,728,389,339,64.87
86,149,43,20,23,120,76,44,57.75
409,813,234,111,64,685,352,333,66.26
209,349,97,58,54,291,214,77,55.66
314,508,139,91,84,461,367,94,53.93
198,314,87,53,58,312,245,67,52.86
